Week_Ending,Account_ID,Account_Type,Asset_Class,Industry_Sector,Ticker,Holding_Name,Market_Value,Weekly_Return_USD,Weekly_Return_Pct,Actual_Performance,Predicted_Performance,Predicted_Probability
2024-11-26,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18539.26,-721.96,-0.0375,0,0,0.1654
2024-11-26,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13726.37,-98.31,-0.0071,0,0,0.392
2024-11-26,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,24083.99,-439.53,-0.0179,0,0,0.1262
2024-11-26,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19375.22,-101.91,-0.0052,0,0,0.0
2024-11-26,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16734.76,-90.16,-0.0054,0,0,0.1683
2024-12-03,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9677.38,337.35,0.0361,1,1,0.6168
2024-12-03,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6518.82,13.42,0.0021,1,1,0.6748
2024-12-03,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10905.41,-41.85,-0.0038,0,0,0.1328
2024-12-03,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,15993.03,577.19,0.0374,1,1,0.7632
2024-12-03,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,23355.66,1265.48,0.0573,1,1,0.5067
2024-12-03,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21877.64,23.52,0.0011,1,1,0.7854
2024-12-03,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",16600.86,-572.08,-0.0333,0,0,0.2999
2024-12-03,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,20879.85,144.85,0.007,1,1,0.9981
2024-12-03,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,19388.59,265.54,0.0139,1,1,0.8446
2024-12-03,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6935.12,2.31,0.0003,1,1,0.7981
2024-12-03,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16671.77,-2.11,-0.0001,0,0,0.303
2024-12-03,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20839.95,-33.03,-0.0016,0,0,0.2263
2024-12-03,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,23089.96,-806.02,-0.0337,0,0,0.4343
2024-12-03,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13657.62,-51.7,-0.0038,0,0,0.2075
2024-12-03,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18297.87,-0.36,-0.0,0,0,0.3613
2024-12-03,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,17723.42,-815.84,-0.044,0,0,0.4046
2024-12-03,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13643.62,-82.75,-0.006,0,0,0.359
2024-12-03,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,24067.87,-16.12,-0.0007,0,0,0.3128
2024-12-03,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19429.38,54.16,0.0028,1,1,0.8633
2024-12-03,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16579.02,-155.74,-0.0093,0,0,0.0631
2024-12-10,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9666.54,-10.84,-0.0011,0,0,0.0365
2024-12-10,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6568.33,49.51,0.0076,1,1,0.7841
2024-12-10,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10965.59,60.18,0.0055,1,1,0.7219
2024-12-10,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,16306.53,313.5,0.0196,1,1,0.601
2024-12-10,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,25529.25,2173.58,0.0931,1,1,0.8605
2024-12-10,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21809.55,-68.09,-0.0031,0,1,0.5904
2024-12-10,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",16825.98,225.11,0.0136,1,1,0.7199
2024-12-10,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,21064.96,185.11,0.0089,1,1,0.8539
2024-12-10,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,19327.85,-60.74,-0.0031,0,0,0.0879
2024-12-10,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6934.06,-1.06,-0.0002,0,0,0.0468
2024-12-10,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16680.32,8.55,0.0005,1,1,0.8288
2024-12-10,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20583.31,-256.65,-0.0123,0,0,0.2208
2024-12-10,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,24693.32,1603.36,0.0694,1,1,0.9253
2024-12-10,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13494.23,-163.39,-0.012,0,0,0.1188
2024-12-10,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18291.54,-6.33,-0.0003,0,0,0.1398
2024-12-10,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18672.72,949.3,0.0536,1,1,0.8914
2024-12-10,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13493.87,-149.75,-0.011,0,0,0.3062
2024-12-10,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,24416.43,348.56,0.0145,1,1,0.7956
2024-12-10,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19392.17,-37.21,-0.0019,0,0,0.3221
2024-12-10,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16725.29,146.27,0.0088,1,1,0.7674
2024-12-17,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9850.77,184.24,0.0191,1,1,0.8107
2024-12-17,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6510.78,-57.55,-0.0088,0,0,0.1965
2024-12-17,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10966.15,0.56,0.0001,1,1,0.7912
2024-12-17,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,15995.91,-310.62,-0.019,0,0,0.0784
2024-12-17,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,24064.61,-1464.64,-0.0574,0,1,0.5032
2024-12-17,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21591.57,-217.98,-0.01,0,0,0.2613
2024-12-17,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",16953.14,127.17,0.0076,1,1,0.8921
2024-12-17,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,21098.41,33.45,0.0016,1,1,1.0
2024-12-17,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,19266.15,-61.7,-0.0032,0,0,0.1493
2024-12-17,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6931.23,-2.83,-0.0004,0,0,0.1049
2024-12-17,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16696.01,15.69,0.0009,1,0,0.4696
2024-12-17,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20630.5,47.19,0.0023,1,1,0.8426
2024-12-17,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,27013.95,2320.63,0.094,1,1,0.8836
2024-12-17,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13855.4,361.17,0.0268,1,1,0.5514
2024-12-17,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18292.47,0.93,0.0001,1,0,0.4745
2024-12-17,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18414.92,-257.8,-0.0138,0,0,0.2339
2024-12-17,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13532.71,38.85,0.0029,1,1,0.8532
2024-12-17,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,24858.62,442.19,0.0181,1,1,0.8732
2024-12-17,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19485.0,92.83,0.0048,1,1,0.7091
2024-12-17,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16681.16,-44.13,-0.0026,0,0,0.2809
2024-12-24,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9951.87,101.1,0.0103,1,1,0.8407
2024-12-24,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,5803.78,-707.0,-0.1086,0,0,0.2451
2024-12-24,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10864.67,-101.48,-0.0093,0,0,0.2254
2024-12-24,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,16104.38,108.47,0.0068,1,1,0.5255
2024-12-24,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,24031.23,-33.38,-0.0014,0,0,0.0689
2024-12-24,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21585.9,-5.67,-0.0003,0,0,0.1454
2024-12-24,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",17163.09,209.94,0.0124,1,1,0.9764
2024-12-24,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,21173.29,74.87,0.0035,1,1,0.7734
2024-12-24,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,18612.77,-653.38,-0.0339,0,0,0.3629
2024-12-24,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6928.98,-2.24,-0.0003,0,0,0.179
2024-12-24,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16707.3,11.29,0.0007,1,1,0.6258
2024-12-24,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20906.86,276.36,0.0134,1,1,0.7025
2024-12-24,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,25313.39,-1700.56,-0.063,0,0,0.1763
2024-12-24,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13161.47,-693.93,-0.0501,0,0,0.0842
2024-12-24,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18303.33,10.87,0.0006,1,1,0.8016
2024-12-24,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18200.04,-214.88,-0.0117,0,0,0.0846
2024-12-24,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13541.69,8.98,0.0007,1,1,0.7471
2024-12-24,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,25855.97,997.35,0.0401,1,1,0.8107
2024-12-24,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19392.73,-92.26,-0.0047,0,0,0.143
2024-12-24,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16685.89,4.73,0.0003,1,1,0.5725
2024-12-31,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9701.97,-249.9,-0.0251,0,0,0.2481
2024-12-31,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,5404.51,-399.26,-0.0688,0,0,0.2192
2024-12-31,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10897.28,32.61,0.003,1,1,0.7036
2024-12-31,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,16142.37,37.99,0.0024,1,1,0.9449
2024-12-31,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,24454.92,423.68,0.0176,1,1,0.7861
2024-12-31,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21768.21,182.31,0.0084,1,1,0.734
2024-12-31,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",16948.4,-214.68,-0.0125,0,0,0.2096
2024-12-31,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,21271.25,97.97,0.0046,1,1,0.6261
2024-12-31,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,20303.34,1690.57,0.0908,1,1,0.7917
2024-12-31,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6932.54,3.55,0.0005,1,1,0.6837
2024-12-31,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16709.87,2.56,0.0002,1,1,0.8983
2024-12-31,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,21804.1,897.24,0.0429,1,1,0.5954
2024-12-31,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,26139.06,825.67,0.0326,1,1,0.772
2024-12-31,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13681.06,519.58,0.0395,1,1,0.716
2024-12-31,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18303.93,0.6,0.0,1,1,0.5904
2024-12-31,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18611.76,411.72,0.0226,1,1,0.9144
2024-12-31,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13556.01,14.32,0.0011,1,1,0.7543
2024-12-31,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,25124.94,-731.03,-0.0283,0,0,0.4031
2024-12-31,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19321.74,-70.99,-0.0037,0,0,0.327
2024-12-31,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16616.36,-69.53,-0.0042,0,0,0.0508
2025-01-07,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9865.47,163.5,0.0169,1,1,0.6448
2025-01-07,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,5918.27,513.75,0.0951,1,1,0.6165
2025-01-07,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10858.62,-38.66,-0.0035,0,0,0.199
2025-01-07,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,15680.6,-461.76,-0.0286,0,0,0.0493
2025-01-07,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,24451.48,-3.43,-0.0001,0,0,0.0
2025-01-07,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21829.94,61.74,0.0028,1,1,1.0
2025-01-07,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",17425.05,476.65,0.0281,1,1,0.9024
2025-01-07,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,21417.98,146.73,0.0069,1,1,0.7893
2025-01-07,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,20152.47,-150.87,-0.0074,0,1,0.5056
2025-01-07,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6936.26,3.72,0.0005,1,1,0.7836
2025-01-07,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16700.18,-9.69,-0.0006,0,0,0.2576
2025-01-07,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,22796.58,992.48,0.0455,1,1,0.6878
2025-01-07,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,24598.54,-1540.52,-0.0589,0,0,0.321
2025-01-07,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13050.95,-630.11,-0.0461,0,0,0.4163
2025-01-07,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18291.45,-12.49,-0.0007,0,0,0.0
2025-01-07,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,18811.82,200.06,0.0107,1,1,0.9268
2025-01-07,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13567.85,11.84,0.0009,1,1,0.9194
2025-01-07,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,23936.76,-1188.17,-0.0473,0,0,0.2486
2025-01-07,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19371.42,49.68,0.0026,1,1,0.7926
2025-01-07,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16627.34,10.98,0.0007,1,1,0.9824
2025-01-14,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,10407.0,541.53,0.0549,1,1,0.6151
2025-01-14,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,5762.71,-155.56,-0.0263,0,0,0.1579
2025-01-14,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10837.42,-21.2,-0.002,0,0,0.19
